type,latitude,longitude,place,description
static,8.481739,76.957361,TVM Killippalam Roundabout,"NH 66, Pazhayasalai, Valiyasalai, Thiruvananthapuram, Kerala"
static,8.687982581,76.82430403,Moonnumukku Junction,"NH47, Attingal, Kerala State, India"
static,8.875895599,76.61840965,Vendermukku Junction,"Pallimukku, Kollam, Kerala 691021"
static,9.001324918,76.5350965,Titanium Junction,"Panmana, Kerala 691583"
static,9.100814808,76.52208211,Vavvakavu Bus Stop,"Salem - Kochi Hwy, Vavvakkavu, Kerala 690546"
static,9.17547357,76.50336257,Kayamkulam - Pathanapuram Rd,"Kayamkulam - Pathanapuram Rd, Kayamkulam, Kerala 690502"
static,9.253545567,76.54537486,Puthiyakavu Junction,"Old Mavelikkara, Mavelikara, Kerala 690101"
static,9.366563339,76.54520005,Podiyadi Junction,"SH 12, Podiyadi, Thiruvalla, Kerala 689110"
static,9.369397826,76.5381784,Vaikkathillam Bridge,"Ambalappuzha - Thiruvalla Rd, Thiruvalla, Kerala 689108"
static,9.383472881,76.35525338,Ambalappuzha Junction,"Ambalapuzha, Kerala 688561"
static,9.466551908,76.33899743,"Bypass Jn, Alappuzha","NH 66, Kalarcode, Thookkukulam, Paravur, Kerala 688003"
static,9.527827927,76.34038035,Aira Helmet's,"SH40, Thalavady, Aaryad, Kallara, Kerala 688521"
static,9.559903817,76.3442822,Nethaji Junction,"SH40, Nethaji, Ward 16, Mannanchery, Kerala 688538"
static,9.674179301,76.34001801,Monisha Square,"X Ray Junction, NH 66"
static,9.717453331,76.31744389,Magic Oven Bakers,"Opp. Puthiyakav temple, Pattanakkad, Kerala 688531"
static,9.723914291,76.31807355,Vayalar Jn,"NH 66, Pattanakkad, Kerala 688531"
static,9.775068802,76.30588185,Chavady Market,"Thuravoor, Thuravoor Thekku, Kerala 688540"
static,9.777514387,76.28664919,Pallithode Bridge,"Pallithode Beach- Chavady- Thuravoor Rd, Thuravoor Thekku, Kerala 688540"
static,9.787587724,76.27803236,Chappakkadavu Beach,"SH66, Kodamthuruth, Kerala 682008"
static,9.81439105,76.27532745,Corporation Bank - Chellanam,"SH66, Chellanam, Kerala 682008"
static,9.856092955,76.26989542,Kandakkadavu,"SH66, Kandakkadavu, Kannamaly, Kochi, Kerala 682008"
static,9.932495998,76.25279631,Illikkal Junction,"Thoppumpady, Kochi, Kerala 682507"
static,9.935769746,76.26230644,Thoppumpady Bus Stop,"SH66, Karuvelipady, Thoppumpady, Kochi, Kerala 682005"
static,9.93689141,76.27553486,Vathuruthy Park,"Vathuruthy, Willingdon Island, Kochi, Kerala 682003"
static,9.949609112,76.29166831,Thevara Junction,"Perumanoor, Ernakulam, Kerala 682015"
